RL,V
0.0033336890187861744,0.00495163037525411
0.003814705939907489,0.0
0.004295723788383055,0.0
0.004776742564337754,0.0032445366045177997
0.005257762267903444,0.0
0.005738782899219337,0.017551001581708265
0.006219804458432386,0.032628598060976954
0.0067008269456977285,0.016035539177659333
0.0071818503611790875,0.028545764734198988
0.007662874705049271,0.02658048678440256
0.008143899977490618,0.03340902612450712
0.008624926178695546,0.022158302710824477
0.009105953308867064,0.03200705535555102
0.009586981368219342,0.03468170264063326
0.010068010356978312,0.03519912533338667
0.010549040275382275,0.018045832022719477
0.011030071123682584,0.041057991343765976
0.011511102902144292,0.040505532647809595
0.011992135611046948,0.029262785048527723
0.012473169250685263,0.047838016258289776
0.012954203821369996,0.044356031784830836
0.013435239323428747,0.03829453234064149
0.013916275757206874,0.048125409442880844
0.014397313123068403,0.04035528378356038
0.014878351421396995,0.03448422813850758
0.01535939065259702,0.040940751396930465
0.015840430817094586,0.04935964119372399
0.016321471915338726,0.06253562991430486
0.01680251394780251,0.03532380427211476
0.017283556914984406,0.050761070936445184
0.01776460081740952,0.06484235193770033
0.018245645655631,0.049192180436034905
0.0187266914302315,0.054498597535421994
0.019207738141824676,0.06061566942456741
0.019688785791056873,0.058093589522769405
0.020169834378608694,0.06312743671372338
0.020650883905196864,0.07428639044756874
0.02113193437157604,0.06730485932258781
0.021612985778540823,0.06881081825830512
0.022094038126927715,0.07910836102033147
0.02257509141761737,0.06552597232568574
0.023056145651536814,0.05406790578206678
0.023537200829661795,0.08813701539438763
0.024018256953019394,0.08963505473372402
0.02449931402269045,0.054956511807034696
0.024980372039812564,0.0605082890700661
0.025461431005582746,0.09491634535507595
0.025942490921260615,0.08003707763150451
0.02642355178817156,0.05255513365418053
0.02690461360771,0.09709520296282416
0.027385676381343014,0.06221862611652956
0.02786674011061395,0.07989710876024544
0.02834780479714638,0.09461310295554996
0.028828870442648025,0.08048213457298295
0.02930993704891523,0.08215434692214388
0.029791004617837204,0.09791757627109147
0.030272073151400986,0.0765104762018055
0.030753142651696118,0.1005180540037322
0.03123421312092006,0.1062018986058481
0.03171528456138347,0.10483567500750846
0.03219635697551601,0.10306497838196174
0.03267743036587226,0.10234871976583759
0.03315850473513808,0.11209474070008575
0.033639580086137225,0.10093735349303185
0.03412065642183814,0.10428284554865369
0.03460173374536136,0.0926669002586975
0.035082812059987124,0.09847176766307203
0.0355638913691633,0.09341750595385391
0.036044971676513916,0.10525683306482042
0.0365260529858478,0.10596054248270774
0.037007135301168025,0.11281803815485093
0.037488218626681426,0.10548095647502788
0.037969302966808935,0.09482115968689284
0.03845038832619618,0.10625551757739551
0.038931474709724675,0.12261534534627673
0.03941256212252374,0.11578966410768536
0.03989365056998252,0.14039013366011266
0.04037474005776327,0.12836778479797234
0.04085583059181472,0.11682176304135956
0.041336922178386394,0.13289062297704132
0.04181801482404352,0.12110648441628978
0.042299108535682674,0.12852306406841546
0.0427802033205483,0.11970950406772674
0.043261299186249894,0.12593153856312167
0.04374239614078013,0.13688274284351495
0.044223494192533734,0.14866092966744485
0.044704593350327455,0.13185686189676915
0.045185693623420946,0.13672310580372146
0.045666795021538656,0.12858493262458534
0.04614789755489264,0.1374216979920782
0.04662900123420682,0.13145869320821052
0.047110106070742105,0.15267572685342526
0.04759121207632289,0.13565023810540683
0.04807231926336485,0.15759050049715984
0.04855342764490402,0.14207095245985601
0.04903453723462732,0.13741074430980477
0.04951564804690457,0.14519277382579487
0.049996760096822086,0.15890164741707594
0.050477873400217775,0.1362552312747655
0.05095898797371815,0.16165346873345474
0.051440103834777075,0.15788776092920048
0.05192122100171605,0.1491397705628786
0.05240233949376708,0.16028191291461225
0.05288345933111715,0.15335891389147607
0.05336458053495486,0.15952332251426257
0.05384570312751961,0.15673780607551036
0.05432682713215297,0.17784088293584255
0.05480795257335236,0.18082640435260594
0.05528907947682793,0.16051560602467738
0.05577020786956134,0.16805366243089404
0.05625133777986816,0.17467247961867102
0.05673246923746274,0.199077891949452
0.05721360227352648,0.16556345399819347
0.05769473692077939,0.17285674622960204
0.05817587321355493,0.1693302500708389
0.058657011187878666,0.17849847751782363
0.05913815088155062,0.18474431616019307
0.05961929233423144,0.18671398276339954
0.06010043558753303,0.18667084471344567
0.060581580685113344,0.16626368714256892
0.06106272767277571,0.1893487033847882
0.06154387659857303,0.1855722874710486
0.06202502751291691,0.1767294541507226
0.0625061804686922,0.19000313301905358
0.06298733552137671,0.1897778357654307
0.06346849272916713,0.1994204126451161
0.06394965215311041,0.20246363841865486
0.0644308138572421,0.1999322049217934
0.06491197790873081,0.18452911575477696
0.06539314437802973,0.19387256075284456
0.0658743133390357,0.1978515625511475
0.06635548486925547,0.21455863833607
0.06683665904997997,0.1919788395134143
0.06731783596646745,0.1952801570428588
0.06779901570813478,0.20660446343375624
0.06828019836875807,0.21506093278606664
0.06876138404668297,0.22062101471176843
0.06924257284504509,0.19797505457723008
0.06972376487200065,0.21062427479504253
0.07020496024096844,0.1987662440072941
0.07068615907088333,0.23409004264593491
0.07116736148646159,0.20935265493919708
0.07164856761847921,0.2241764789141443
0.0721297776040631,0.2083089076337617
0.07261099158699674,0.2092601251037597
0.07309220971803984,0.21696623667164933
0.07357343215526342,0.23083740428010477
0.07405465906440113,0.22929166018944339
0.07453589061921671,0.19409841531944552
0.07501712700188956,0.2320406741076045
0.07549836840341796,0.23510790729543163
0.07597961502404238,0.22008142954694576
0.076460867073688,0.22871572023508357
0.07694212477242864,0.2186221639794405
0.07742338835097291,0.22753152682109545
0.07790465805117315,0.2382771117985902
